event_name,fighter_red,fighter_blue,result,winner,kd_red,kd_blue,str_red,str_blue,td_red,td_blue,sub_red,sub_blue,weight_class,method,round,time,fight_link
UFC 330: Makhachev vs. Machado Garry,Islam Makhachev,Ian Machado Garry,scheduled,,,,,,View,Matchup,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern,Gillian Robertson,scheduled,,,,,,View Matchup,,,,Women's Strawweight,,,,
UFC 330: Makhachev vs. Machado Garry,Jalin Turner,Kaue Fernandes,scheduled,,,,,,View Matchup,,,,Lightweight,,,,
UFC 330: Makhachev vs. Machado Garry,Mansur Abdul-Malik,Dustin Stoltzfus,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Edson Barboza,Esteban Ribovics,scheduled,,,,,,View Matchup,,,,Lightweight,,,,
UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani,Joel Alvarez,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Charles Johnson,Eduardo Chapolin,scheduled,,,,,,View Matchup,,,,Catch Weight,,,,
UFC 330: Makhachev vs. Machado Garry,Donte Johnson,Eric McConico,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Vicente Luque,Tresean Gore,scheduled,,,,,,View Matchup,,,,Middleweight,,,,
UFC 330: Makhachev vs. Machado Garry,Rafael Tobias,Lucas Fernando,scheduled,,,,,,View Matchup,,,,Light Heavyweight,,,,
UFC 330: Makhachev vs. Machado Garry,Neil Magny,Ramiz Brahimaj,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC 330: Makhachev vs. Machado Garry,Jeremiah Wells,Myktybek Orolbai,scheduled,,,,,,View Matchup,,,,Welterweight,,,,
UFC Fight Night: Gamrot vs. Salkilld,Quillan Salkilld,Mateusz Gamrot,win,Quillan Salkilld,0,0,10,3,1,0,1,2,Lightweight,SUB Rear Naked Choke,1,4:25,http://ufcstats.com/fight-details/a10deecfb8558335
UFC Fight Night: Gamrot vs. Salkilld,Diego Ferreira,Billy Quarantillo,win,Diego Ferreira,0,0,116,73,4,1,0,0,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d5245f5b96b8afdf
UFC Fight Night: Gamrot vs. Salkilld,Yadier del Valle,Darren Elkins,win,Yadier del Valle,1,0,5,0,0,0,0,0,Featherweight,KO/TKO Punch,1,0:35,http://ufcstats.com/fight-details/06bfde3e3577906f
UFC Fight Night: Gamrot vs. Salkilld,Alexia Thainara,Amanda Lemos,win,Alexia Thainara,0,0,81,56,2,0,0,0,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/13f31f7a784013a3
UFC Fight Night: Gamrot vs. Salkilld,Ty Miller,Billy Ray Goff,win,Ty Miller,2,0,133,25,0,0,0,0,Welterweight,KO/TKO Punches,3,0:15,http://ufcstats.com/fight-details/f44ab9e9e4a89735
UFC Fight Night: Gamrot vs. Salkilld,Steven Asplund,Guilherme Pat,win,Steven Asplund,2,1,66,45,0,0,1,0,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3050549d19395f6f
UFC Fight Night: Gamrot vs. Salkilld,Diyar Nurgozhay,Bruno Lopes,win,Diyar Nurgozhay,2,0,48,14,0,1,0,0,Light Heavyweight,KO/TKO Punches,1,4:59,http://ufcstats.com/fight-details/13380a8d6cdbb381
UFC Fight Night: Gamrot vs. Salkilld,Jose Montanha,Louie Sutherland,win,Jose Montanha,0,0,2,3,1,0,1,0,Heavyweight,SUB Neck Crank,1,1:50,http://ufcstats.com/fight-details/64829a32c78ab656
UFC Fight Night: Gamrot vs. Salkilld,Manoel Sousa,Richie Miranda,win,Manoel Sousa,1,0,67,46,1,1,0,0,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/81ae2a465e0dfa4f
UFC Fight Night: Gamrot vs. Salkilld,Miles Johns,Gianni Vazquez,win,Miles Johns,1,0,12,7,0,0,0,0,Featherweight,KO/TKO Punch,1,3:09,http://ufcstats.com/fight-details/1168a8e59aacfd72
UFC Fight Night: Gamrot vs. Salkilld,Juliana Miller,Ravena Oliveira,win,Juliana Miller,0,0,24,7,2,0,1,0,Women's Flyweight,SUB Rear Naked Choke,2,1:38,http://ufcstats.com/fight-details/d463229133909215
UFC Fight Night: Gamrot vs. Salkilld,Carol Foro,Gigi Canuto,win,Carol Foro,0,0,106,56,0,4,0,1,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ded584e13276cbcb
UFC Fight Night: Medic vs. Rodriguez,Uros Medic,Daniel Rodriguez,win,Uros Medic,1,0,11,1,0,0,0,0,Welterweight,KO/TKO Punches,1,0:30,http://ufcstats.com/fight-details/68ae50dbf98dc15f
UFC Fight Night: Medic vs. Rodriguez,Navajo Stirling,Jan Blachowicz,win,Navajo Stirling,0,0,35,3,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,2:56,http://ufcstats.com/fight-details/0c3c835e681972d3
UFC Fight Night: Medic vs. Rodriguez,Aleksandar Rakic,Marcin Tybura,win,Aleksandar Rakic,0,0,71,33,0,0,0,0,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/eb8753ed0476b3d1
UFC Fight Night: Medic vs. Rodriguez,Robert Valentin,Dusko Todorovic,win,Robert Valentin,0,0,1,1,1,2,2,0,Middleweight,SUB Guillotine Choke,1,4:14,http://ufcstats.com/fight-details/f425b7a527dd53aa
UFC Fight Night: Medic vs. Rodriguez,Gilbert Urbina,Vlasto Cepo,win,Gilbert Urbina,1,0,30,7,0,0,0,0,Middleweight,KO/TKO Elbows,1,1:01,http://ufcstats.com/fight-details/7ecb154439aca0f9
UFC Fight Night: Medic vs. Rodriguez,Noah Gugnon,Milos Janicic,win,Noah Gugnon,0,0,5,6,0,0,1,0,Lightweight,SUB Rear Naked Choke,1,1:21,http://ufcstats.com/fight-details/fec91da886d80200
UFC Fight Night: Medic vs. Rodriguez,Tofiq Musayev,Ludovit Klein,win,Tofiq Musayev,1,0,46,46,0,0,0,0,Lightweight,KO/TKO Punches,2,4:07,http://ufcstats.com/fight-details/fbd99ae7e1ff993a
UFC Fight Night: Medic vs. Rodriguez,Michael Oliveira,Oban Elliott,win,Michael Oliveira,2,0,14,6,0,0,0,0,Welterweight,KO/TKO Punches,1,1:49,http://ufcstats.com/fight-details/f1bce0c9a3fa4bcb
UFC Fight Night: Medic vs. Rodriguez,Borislav Nikolic,Mark Vologdin,win,Borislav Nikolic,0,1,57,42,1,3,2,0,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4350abb4f1933f88
UFC Fight Night: Medic vs. Rodriguez,Bogdan Grad,Dennis Buzukja,win,Bogdan Grad,0,0,44,46,4,0,2,0,Featherweight,SUB Arm Triangle,2,4:33,http://ufcstats.com/fight-details/13aa6688d0538095
UFC Fight Night: Medic vs. Rodriguez,Mateusz Rebecki,Kyle Prepolec,win,Mateusz Rebecki,0,0,75,2,1,0,0,0,Lightweight,KO/TKO Punches,1,4:41,http://ufcstats.com/fight-details/5425c577ed4f50b3
UFC Fight Night: Medic vs. Rodriguez,Nina Milosevic,Hailey Cowan,win,Nina Milosevic,1,0,21,13,0,0,0,0,Women's Bantamweight,KO/TKO Punch,1,3:41,http://ufcstats.com/fight-details/f78f34ef2ee7b02c
UFC Fight Night: Medic vs. Rodriguez,Jovan Leka,Alexander Poppeck,win,Jovan Leka,1,0,10,8,0,0,0,0,Heavyweight,KO/TKO Kick,1,2:22,http://ufcstats.com/fight-details/94cef172179c9778
UFC Fight Night: Medic vs. Rodriguez,Stephanie Luciano,Marina Spasic,win,Stephanie Luciano,0,0,20,25,1,0,1,0,Women's Strawweight,SUB Rear Naked Choke,1,3:20,http://ufcstats.com/fight-details/878a7e6fec3e4573
UFC Fight Night: Ankalaev vs. Guskov,Magomed Ankalaev,Bogdan Guskov,win,Magomed Ankalaev,0,0,54,39,2,0,3,1,Light Heavyweight,KO/TKO Punches,5,2:41,http://ufcstats.com/fight-details/9009ec7b91f2be14
UFC Fight Night: Ankalaev vs. Guskov,Ramazan Temirov,Steve Erceg,win,Ramazan Temirov,2,0,27,11,0,0,0,0,Flyweight,KO/TKO Punches,1,4:21,http://ufcstats.com/fight-details/c36cd04f8f560f0a
UFC Fight Night: Ankalaev vs. Guskov,Magomed Zaynukov,Damian Rzepecki,win,Magomed Zaynukov,0,0,74,16,2,1,0,0,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4ace64aa144389c5
UFC Fight Night: Ankalaev vs. Guskov,Rizvan Kuniev,Tyrell Fortune,win,Rizvan Kuniev,1,0,66,20,0,0,0,0,Heavyweight,KO/TKO Knee,3,1:12,http://ufcstats.com/fight-details/5ffb251c6ea48b65
UFC Fight Night: Ankalaev vs. Guskov,Abubakar Vagaev,Saygid Izagakhmaev,win,Abubakar Vagaev,0,0,27,33,4,2,0,3,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/61280e5644189c61
UFC Fight Night: Ankalaev vs. Guskov,Valter Walker,Thomas Petersen,win,Valter Walker,0,0,1,0,0,0,2,0,Heavyweight,SUB Calf Slicer,1,1:32,http://ufcstats.com/fight-details/d7070ab1b2144f8d
UFC Fight Night: Ankalaev vs. Guskov,Muhammad Saidov,Dustin Jacoby,win,Muhammad Saidov,2,0,60,34,0,0,0,0,Light Heavyweight,KO/TKO Kick,2,4:49,http://ufcstats.com/fight-details/05bc7a042156b6f6
UFC Fight Night: Ankalaev vs. Guskov,Sam Patterson,Santiago Ponzinibbio,win,Sam Patterson,2,0,64,14,0,0,0,0,Welterweight,KO/TKO Punches,2,3:06,http://ufcstats.com/fight-details/f6e6b004f07363e9
UFC Fight Night: Ankalaev vs. Guskov,Axel Sola,Ismael Bonfim,win,Axel Sola,1,0,33,1,0,1,1,0,Lightweight,SUB D'Arce Choke,1,4:44,http://ufcstats.com/fight-details/a122306d0ce5fbfb
UFC Fight Night: Ankalaev vs. Guskov,Magomed Tuchalov,Brendson Ribeiro,win,Magomed Tuchalov,0,0,35,39,8,0,1,0,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3ac870d6e7d323b7
UFC Fight Night: Ankalaev vs. Guskov,Nurullo Aliev,Mike Davis,win,Nurullo Aliev,0,0,13,22,8,0,1,2,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3859314324918eeb
UFC Fight Night: Ankalaev vs. Guskov,Abdul Hussein,Cody Gibson,win,Abdul Hussein,1,0,65,44,1,1,3,3,Bantamweight,SUB Arm Triangle,3,3:07,http://ufcstats.com/fight-details/532340708f0500bd
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis,Kamaru Usman,win,Dricus Du Plessis,0,0,136,92,0,0,0,0,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/701c97405da76603
UFC Fight Night: Du Plessis vs. Usman,Christian Leroy Duncan,Jared Cannonier,win,Christian Leroy Duncan,0,0,68,15,1,5,0,0,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4eff5a845db17572
UFC Fight Night: Du Plessis vs. Usman,Chase Hooper,Mitch Ramirez,win,Chase Hooper,0,0,3,1,1,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:15,http://ufcstats.com/fight-details/f2abca7379982d4f
UFC Fight Night: Du Plessis vs. Usman,Fatima Kline,Tabatha Ricci,win,Fatima Kline,0,0,66,24,7,1,1,0,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/52ddf20a10890b41
UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen,Alberto Montes,win,Tommy McMillen,2,0,252,56,0,0,0,0,Featherweight,KO/TKO Punches,3,3:29,http://ufcstats.com/fight-details/c64c6ba6eb1e1d06
UFC Fight Night: Du Plessis vs. Usman,Jose Delgado,Austin Bashi,win,Jose Delgado,1,0,35,32,1,3,0,1,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3bd159c1bed14700
UFC Fight Night: Du Plessis vs. Usman,Jean-Paul Lebosnoyani,Seokhyeon Ko,win,Jean-Paul Lebosnoyani,0,0,52,66,3,0,2,0,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f2eb569176e46edf
UFC Fight Night: Du Plessis vs. Usman,Felipe Franco,Levi Rodrigues Jr.,win,Felipe Franco,0,0,39,11,3,0,0,0,Light Heavyweight,KO/TKO Punches,2,1:40,http://ufcstats.com/fight-details/46d800ce45fdd3e6
UFC Fight Night: Du Plessis vs. Usman,Ezra Elliott,Damien Anderson,win,Ezra Elliott,0,0,6,7,12,0,3,1,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9e525f939fba3e73
UFC Fight Night: Du Plessis vs. Usman,Alden Coria,Stewart Nicoll,win,Alden Coria,0,0,44,28,3,5,4,0,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/410e6b9e01660b35
UFC Fight Night: Du Plessis vs. Usman,RJ Harris,Alvin Hines,win,RJ Harris,1,0,15,11,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:40,http://ufcstats.com/fight-details/e05155c1b5c2dc74
UFC Fight Night: Du Plessis vs. Usman,Dione Barbosa,Anna Melisano,win,Dione Barbosa,0,0,5,2,1,0,2,0,Women's Flyweight,SUB Rear Naked Choke,1,4:04,http://ufcstats.com/fight-details/307ea95ad7ebe466
UFC 329: McGregor vs. Holloway 2,Max Holloway,Conor McGregor,win,Max Holloway,0,0,12,0,0,0,0,0,Welterweight,KO/TKO,1,1:09,http://ufcstats.com/fight-details/989760fa75321d69
UFC 329: McGregor vs. Holloway 2,Paddy Pimblett,Benoit Saint Denis,win,Paddy Pimblett,0,0,4,1,0,0,1,0,Lightweight,SUB D'Arce Choke,1,0:52,http://ufcstats.com/fight-details/130b325610c54a64
UFC 329: McGregor vs. Holloway 2,Mario Bautista,Cory Sandhagen,win,Mario Bautista,1,0,114,89,8,1,3,0,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c572daedf2012a49
UFC 329: McGregor vs. Holloway 2,Brandon Royval,Lone'er Kavanagh,win,Brandon Royval,0,1,84,56,3,1,2,1,Flyweight,SUB Rear Naked Choke,3,3:40,http://ufcstats.com/fight-details/a3ab1979192b647c
UFC 329: McGregor vs. Holloway 2,King Green,Terrance McKinney,win,King Green,1,0,43,45,0,1,0,0,Lightweight,KO/TKO Punch,1,4:59,http://ufcstats.com/fight-details/a26ea74f2e908842
UFC 329: McGregor vs. Holloway 2,Robert Whittaker,Nikita Krylov,win,Robert Whittaker,0,0,54,51,0,3,0,0,Light Heavyweight,KO/TKO Punch,3,1:01,http://ufcstats.com/fight-details/7765e5e779dd7dc9
UFC 329: McGregor vs. Holloway 2,Gable Steveson,Elisha Ellison,win,Gable Steveson,1,0,41,13,0,0,0,0,Heavyweight,KO/TKO Punches,1,2:31,http://ufcstats.com/fight-details/118c25bda9392140
UFC 329: McGregor vs. Holloway 2,Adrian Yanez,Cody Garbrandt,win,Adrian Yanez,1,0,16,13,0,0,0,0,Bantamweight,KO/TKO Punches,1,2:47,http://ufcstats.com/fight-details/e9f389ba3a1e33c4
UFC 329: McGregor vs. Holloway 2,Luke Riley,Kai Kamaka III,win,Luke Riley,1,0,43,23,0,0,0,0,Featherweight,KO/TKO Punches,1,3:03,http://ufcstats.com/fight-details/930317fde9dbc55e
UFC 329: McGregor vs. Holloway 2,Wang Cong,Tracy Cortez,win,Wang Cong,0,0,137,72,0,1,0,0,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e84c3f1f9a33fa90
UFC 329: McGregor vs. Holloway 2,Damian Pinas,Cesar Almeida,win,Damian Pinas,1,0,25,37,0,1,0,0,Middleweight,KO/TKO Punch,1,4:44,http://ufcstats.com/fight-details/b223b10ef19f912c
UFC 329: McGregor vs. Holloway 2,Farid Basharat,John Garza,win,Farid Basharat,0,0,86,82,5,0,0,0,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9e00ee7644774e18
UFC 329: McGregor vs. Holloway 2,Ryan Gandra,Zach Reese,win,Ryan Gandra,1,0,10,5,0,0,0,0,Middleweight,KO/TKO Punch,1,1:15,http://ufcstats.com/fight-details/1162a74e3604c488
UFC 329: McGregor vs. Holloway 2,Alessandro Costa,Cody Durden,win,Alessandro Costa,0,0,21,28,0,0,2,0,Flyweight,SUB Rear Naked Choke,2,2:19,http://ufcstats.com/fight-details/1b6a3b0d27654d3e
UFC Fight Night: Fiziev vs. Torres,Rafael Fiziev,Manuel Torres,win,Rafael Fiziev,1,0,25,22,2,0,0,0,Lightweight,KO/TKO Punches,2,0:15,http://ufcstats.com/fight-details/c13dc0cccef263f7
UFC Fight Night: Fiziev vs. Torres,Shara Magomedov,Michel Pereira,win,Shara Magomedov,0,1,52,35,0,0,0,0,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/012c307c9d446c4d
UFC Fight Night: Fiziev vs. Torres,Matheus Camilo,Nazim Sadykhov,win,Matheus Camilo,1,0,4,0,0,0,0,0,Lightweight,KO/TKO Punch,1,1:31,http://ufcstats.com/fight-details/809814f03ff3140c
UFC Fight Night: Fiziev vs. Torres,Asu Almabayev,Charles Johnson,win,Asu Almabayev,0,0,28,21,6,0,1,1,Flyweight,SUB Suloev Stretch,3,3:33,http://ufcstats.com/fight-details/81cde317c156723b
UFC Fight Night: Fiziev vs. Torres,Ikram Aliskerov,Brunno Ferreira,win,Ikram Aliskerov,0,0,47,19,5,0,1,0,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d83294b031502177
UFC Fight Night: Fiziev vs. Torres,Abus Magomedov,Michal Oleksiejczuk,win,Abus Magomedov,1,0,10,5,0,0,1,0,Middleweight,SUB Guillotine Choke,1,3:25,http://ufcstats.com/fight-details/35985895d4ef321e
UFC Fight Night: Fiziev vs. Torres,Farman Hasanov,Eric Nolan,win,Farman Hasanov,0,0,21,15,17,0,0,0,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6a35ff33b8597904
UFC Fight Night: Fiziev vs. Torres,Abdul Rakhman Yakhyaev,Julius Walker,win,Abdul Rakhman Yakhyaev,1,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,0:08,http://ufcstats.com/fight-details/48b1ee7ab45add4c
UFC Fight Night: Fiziev vs. Torres,Nursulton Ruziboev,Andrey Pulyaev,win,Nursulton Ruziboev,0,0,1,2,2,0,1,0,Middleweight,SUB Rear Naked Choke,1,3:58,http://ufcstats.com/fight-details/5e7f4ba1210f433d
UFC Fight Night: Fiziev vs. Torres,Kaan Ofli,Javier Reyes,win,Kaan Ofli,1,0,17,7,0,0,1,0,Featherweight,SUB Arm Triangle,1,4:16,http://ufcstats.com/fight-details/1a7119f3996b5635
UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko,Theodor Berggren,win,Daniil Donchenko,2,0,71,23,0,0,0,0,Welterweight,KO/TKO Punches,2,1:35,http://ufcstats.com/fight-details/0e60ab32f3d03929
UFC Fight Night: Fiziev vs. Torres,Jean Matsumoto,Bekzat Almakhan,win,Jean Matsumoto,0,1,79,69,2,0,0,0,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ae0a91c8f92f4758
UFC Fight Night: Fiziev vs. Torres,Tahir Abdullayev,Jefferson Nascimento,win,Tahir Abdullayev,0,0,37,35,2,0,0,0,Welterweight,KO/TKO Punches,3,4:28,http://ufcstats.com/fight-details/f1cb2e7ef096ec7c
UFC Fight Night: Kape vs. Horiguchi,Manel Kape,Kyoji Horiguchi,win,Manel Kape,1,0,19,27,0,2,0,0,Flyweight,KO/TKO Punches,3,2:42,http://ufcstats.com/fight-details/33afdd7ad43a2756
UFC Fight Night: Kape vs. Horiguchi,Navajo Stirling,Ion Cutelaba,win,Navajo Stirling,0,0,52,19,0,5,0,1,Light Heavyweight,KO/TKO Punches,2,3:23,http://ufcstats.com/fight-details/afc021700481ac4e
UFC Fight Night: Kape vs. Horiguchi,Christian Rodriguez,Hyder Amil,win,Christian Rodriguez,1,0,20,23,1,0,1,0,Featherweight,SUB Guillotine Choke,1,3:43,http://ufcstats.com/fight-details/aaec28fa3c0c576d
UFC Fight Night: Kape vs. Horiguchi,Murtazali Magomedov,Melsik Baghdasaryan,win,Murtazali Magomedov,0,0,5,3,1,0,1,0,Featherweight,SUB Twister,1,1:17,http://ufcstats.com/fight-details/e4849375d1949c74
UFC Fight Night: Kape vs. Horiguchi,Vinicius Oliveira,Andre Fili,win,Vinicius Oliveira,1,0,105,40,0,0,0,0,Featherweight,KO/TKO Elbows,2,4:56,http://ufcstats.com/fight-details/571a3eabff5c7ba7
UFC Fight Night: Kape vs. Horiguchi,Kevin Borjas,Andre Lima,win,Kevin Borjas,0,0,51,51,0,0,0,0,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/17d31249c9ab18af
UFC Fight Night: Kape vs. Horiguchi,Bia Mesquita,Melissa Mullins,win,Bia Mesquita,0,0,3,10,0,1,1,0,Women's Bantamweight,SUB Armbar,1,3:16,http://ufcstats.com/fight-details/c0980a613f24accd
UFC Fight Night: Kape vs. Horiguchi,Mitch Raposo,Allan Nascimento,win,Mitch Raposo,0,1,38,58,0,0,0,0,Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/3b4803afa824fea3
UFC Fight Night: Kape vs. Horiguchi,Gaston Bolanos,Michael Aswell Jr.,win,Gaston Bolanos,0,0,87,105,1,0,0,0,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8b809ba1880aded0
UFC Fight Night: Kape vs. Horiguchi,Levan Chokheli,Leon Shahbazyan,win,Levan Chokheli,1,0,6,0,0,0,0,0,Welterweight,KO/TKO Punch,1,0:23,http://ufcstats.com/fight-details/6658fe4531c86674
UFC Fight Night: Kape vs. Horiguchi,Luana Santos,Karol Rosa,win,Luana Santos,0,0,9,7,2,0,0,0,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b23a1a5d35eb438a
UFC Fight Night: Kape vs. Horiguchi,Shane Collins,Otari Tanzilovi,win,Shane Collins,0,0,76,58,0,5,3,0,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9efa4de316b8bf43
UFC Freedom 250,Justin Gaethje,Ilia Topuria,win,Justin Gaethje,0,1,91,97,0,1,0,0,Lightweight,KO/TKO,4,5:00,http://ufcstats.com/fight-details/7208e40818401e88
UFC Freedom 250,Ciryl Gane,Alex Pereira,win,Ciryl Gane,1,0,54,12,0,0,0,0,Heavyweight,KO/TKO Punches,2,1:27,http://ufcstats.com/fight-details/5727d5be8c373346
UFC Freedom 250,Sean O'Malley,Aiemann Zahabi,win,Sean O'Malley,1,0,41,32,0,0,0,0,Bantamweight,KO/TKO Punches,2,4:02,http://ufcstats.com/fight-details/60de0423ae6ed097
UFC Freedom 250,Josh Hokit,Derrick Lewis,win,Josh Hokit,1,0,86,7,2,0,1,0,Heavyweight,KO/TKO Punches,2,4:09,http://ufcstats.com/fight-details/30cdb851f6c63444
UFC Freedom 250,Mauricio Ruffy,Michael Chandler,win,Mauricio Ruffy,2,0,19,3,0,0,0,0,Lightweight,KO/TKO Punches,1,4:29,http://ufcstats.com/fight-details/9a9b30b3165b62e4
UFC Freedom 250,Bo Nickal,Kyle Daukaus,win,Bo Nickal,1,0,16,2,1,0,0,0,Middleweight,KO/TKO Punches,1,4:34,http://ufcstats.com/fight-details/00e8d4b961a65d21
UFC Freedom 250,Diego Lopes,Steve Garcia,win,Diego Lopes,1,0,24,47,0,0,0,0,Featherweight,KO/TKO Punches,2,2:42,http://ufcstats.com/fight-details/127ba4a1ccb3d4a6
UFC Fight Night: Muhammad vs. Bonfim,Gabriel Bonfim,Belal Muhammad,win,Gabriel Bonfim,0,0,128,86,0,0,0,0,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/5c69b019e6deee41
UFC Fight Night: Muhammad vs. Bonfim,Brendan Allen,Edmen Shahbazyan,win,Brendan Allen,0,0,89,90,1,0,0,0,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/419fff06f338f5c6
UFC Fight Night: Muhammad vs. Bonfim,Tom Nolan,Fares Ziam,win,Tom Nolan,0,0,31,16,2,3,0,1,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/58ffa2dac4f2e7d0
UFC Fight Night: Muhammad vs. Bonfim,Bryce Mitchell,Santiago Luna,win,Bryce Mitchell,0,0,22,9,2,0,2,1,Bantamweight,SUB Arm Triangle,3,4:52,http://ufcstats.com/fight-details/c47796e11a801e12
UFC Fight Night: Muhammad vs. Bonfim,Iwo Baraniewski,Junior Tafa,win,Iwo Baraniewski,1,0,6,0,0,0,0,0,Light Heavyweight,KO/TKO Kick,1,1:25,http://ufcstats.com/fight-details/bfe4950b3de83e9c
UFC Fight Night: Muhammad vs. Bonfim,Alessandro Costa,Matt Schnell,win,Alessandro Costa,1,0,19,8,0,0,0,0,Catch Weight,KO/TKO Punch,1,2:28,http://ufcstats.com/fight-details/5d2eedd05081ed23
UFC Fight Night: Muhammad vs. Bonfim,Marcus McGhee,John Yannis,win,Marcus McGhee,0,0,79,55,0,0,0,0,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/90940d93d6e0998f
UFC Fight Night: Muhammad vs. Bonfim,Edgar Chairez,Bruno Silva,win,Edgar Chairez,2,0,24,17,0,0,1,0,Flyweight,SUB Rear Naked Choke,1,4:13,http://ufcstats.com/fight-details/20d74ed23d3e9b3a
UFC Fight Night: Muhammad vs. Bonfim,Chelsea Chandler,Priscila Cachoeira,win,Chelsea Chandler,1,0,11,7,0,1,1,0,Women's Bantamweight,SUB Armbar,1,3:42,http://ufcstats.com/fight-details/98e77712f99956ff
UFC Fight Night: Muhammad vs. Bonfim,Joanderson Brito,Jordan Leavitt,win,Joanderson Brito,0,0,5,7,0,0,1,1,Featherweight,SUB Guillotine Choke,1,4:19,http://ufcstats.com/fight-details/44cfbb8c3c356c65
UFC Fight Night: Muhammad vs. Bonfim,Jeisla Chaves,Yuneisy Duben,win,Jeisla Chaves,0,0,64,62,3,2,1,0,Women's Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/a6b211d8dab5edec
UFC Fight Night: Muhammad vs. Bonfim,Ketlen Souza,Ariane Carnelossi,win,Ketlen Souza,1,0,13,8,0,0,0,0,Women's Strawweight,KO/TKO Kick,1,1:34,http://ufcstats.com/fight-details/b0474597b2c60482
UFC Fight Night: Song vs. Figueiredo,Song Yadong,Deiveson Figueiredo,win,Song Yadong,0,0,24,9,1,1,1,0,Bantamweight,SUB Guillotine Choke,2,4:42,http://ufcstats.com/fight-details/423f32dd018ac218
UFC Fight Night: Song vs. Figueiredo,Alonzo Menifield,Zhang Mingyang,win,Alonzo Menifield,2,0,28,16,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,4:15,http://ufcstats.com/fight-details/a23d84f15207e459
UFC Fight Night: Song vs. Figueiredo,Sergei Pavlovich,Tallison Teixeira,win,Sergei Pavlovich,1,0,7,0,0,0,0,0,Heavyweight,KO/TKO Punch,1,0:39,http://ufcstats.com/fight-details/f74e4afdf6ae29d1
UFC Fight Night: Song vs. Figueiredo,Kai Asakura,Cameron Smotherman,win,Kai Asakura,1,0,9,3,0,0,0,0,Bantamweight,KO/TKO Punch,1,1:50,http://ufcstats.com/fight-details/00959e29e4a10e26
UFC Fight Night: Song vs. Figueiredo,Jake Matthews,Carlston Harris,win,Jake Matthews,1,0,55,27,0,0,0,0,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c1c9dfd0c0952f18
